 word=ယဝ်ႉ, f=44656
 word=မ, f=40666
 word=တီႈ, f=40399
 word=မီး, f=39085
 word=သေ, f=34127
 word=ၼႆႉ, f=33506
 word=ဝၼ်း, f=33347
 word=ပဵၼ်, f=32287
 word=ၼၼ်ႉ, f=30391
 word=ဢၼ်, f=24919
 word=ယူႇ, f=23711
 word=လိူၼ်, f=22142
 word=ၸႄႈဝဵင်း, f=21761
 word=မိူင်း, f=21347
 word=ဝႆႉ, f=21251
 word=လႆႈ, f=21027
 word=လႄႈ, f=18640
 word=ၸႄႈ, f=18107
 word=ၵေႃႉ, f=17893
 word=မႃး, f=17413
 word=ဢိူင်ႇ, f=17102
 word=တိူင်း, f=15594
 word=ဝၢၼ်ႈ, f=15409
 word=ၵူၼ်း, f=14821
 word=ၼႂ်း, f=13975
 word=ၸႄႈတွၼ်ႈ, f=13794
 word=မၼ်း, f=13288
 word=ၸဝ်ႈ, f=13217
 word=လွင်ႈ, f=12982
 word=ၽိုၼ်, f=12917
 word=ပိူင်, f=12596
 word=ႁူဝ်, f=12567
 word=ဢမ်ႇ, f=12359
 word=ဝဵင်း, f=12287
 word=ဢိင်, f=12078
 word=ပႃႇ, f=11499
 word=ထၢၼ်ႈ, f=11473
 word=တႃႈ, f=11049
 word=ဝႃႈ, f=10885
 word=ၸိူဝ်း, f=10778
 word=တေ, f=10754
 word=ဢဝ်, f=10415
 word=ပီ, f=9967
 word=ၵႂႃႇ, f=9939
 word=ၶဝ်, f=9935
 word=ၵေႃႈ, f=9907
 word=တႃႇ, f=9834
 word=မၢႆ, f=9603
 word=လိူဝ်ႇ, f=9597
 word=ၸွမ်း, f=7891
 word=ၵၼ်, f=7602
 word=လူင်, f=7579
 word=တႆး, f=7372
 word=ဢွင်ႈ, f=7176
 word=ႁူမ်ႈ, f=7153
 word=ၸၢႆး, f=6766
 word=သဝ်း, f=6744
 word=လူၺ်ႈ, f=6698
 word=သဵၼ်ႈ, f=6364
 word=ပေႃး, f=6289
 word=ဢူး, f=6174
 word=ႁဵတ်း, f=6170
 word=ၼပ်ႉ, f=6081
 word=ႁိူၼ်း, f=6056
 word=ပၼ်, f=6030
 word=ဝႃႇ, f=5872
 word=မိူဝ်ႈ, f=5800
 word=ၼႆ, f=5637
 word=ၽူႈ, f=5619
 word=ၸင်ႇ, f=5487
 word=ရီႇ, f=5428
 word=ဢွၵ်ႇ, f=5291
 word=ၽၢႆႇ, f=5051
 word=တီႇ, f=5036
 word=ယိင်း, f=4932
 word=ၶူတ်ႉ, f=4856
 word=တၢင်း, f=4841
 word=တင်း, f=4725
 word=တ, f=4713
 word=လီ, f=4554
 word=ၸိုဝ်ႈ, f=4456
 word=လႃႇ, f=4295
 word=ႁႂ်ႈ, f=4110
 word=ထိုင်, f=3972
 word=တႄႉ, f=3958
 word=ၵၢၼ်, f=3898
 word=ၼႆယဝ်ႉ, f=3827
 word=ႁဝ်း, f=3800
 word=ၼိုင်ႈ, f=3648
 word=တူဝ်, f=3639
 word=သႃႇ, f=3557
 word=ထီႇ, f=3557
 word=ၶႃႈ, f=3542
 word=ၼၢင်း, f=3538
 word=ထႅမ်, f=3523
 word=ၵူင်း, f=3522
 word=သင်, f=3522
 word=ၽြႃး, f=3515
 word=ၼမ်, f=3359
 word=ၸႂ်ႉ, f=3356
 word=ၼမ်ႉ, f=3335
 word=ၶုၼ်, f=3333
 word=ၶဝ်ႈ, f=3332
 word=ဢေႇ, f=3314
 word=မႃႇ, f=3298
 word=ၶိုၼ်း, f=3296
 word=မႄး, f=3284
 word=တေႃႇ, f=3272
 word=ယွၼ်ႉ, f=3211
 word=ႁၼ်, f=3151
 word=ၺွင်ႇ, f=3019
 word=ပႃး, f=3011
 word=ၶိူဝ်း, f=2984
 word=ပူၵ်းတင်ႈ, f=2966
 word=ၵျီး, f=2961
 word=ၼိူဝ်, f=2945
 word=ၵူၺ်း, f=2938
 word=ယႂ်ႇ, f=2938
 word=ၽွင်း, f=2904
 word=ၸၼ်, f=2867
 word=ပၢင်ႇ, f=2848
 word=ဢေႃး, f=2827
